idx,DI,C1_enriched,AU_CO_enriched,found
1123,10.1145/3587102.3588852,"[BalseR, Indian Institute of Technology Madras] [ValabojuB, Indian Institute of Technology Madras] [SinghalS, Indian Institute of Technology Madras] [WarriemJM, Indian Institute of Technology Madras] [PrasadP, Flame University]",IN,True
1124,10.1145/3589649,[ZhaıX],,True
1125,10.1145/3593342.3593349,"[KendonT, University of Calgary] [WuL, University of Calgary] [AycockJ, University of Calgary]",CA,True
1126,10.1145/3597503.3639187,"[NamD, Carnegie Mellon University] [MacveanA, Google (United States)] [HellendoornVJ, Carnegie Mellon University] [VasilescuB, Carnegie Mellon University] [MyersBA, Carnegie Mellon University]",US,True
1127,10.1145/3597503.3639201,"[ChoudhuriR, Oregon State University] [LiuD, Oregon State University] [SteinmacherI, Northern Arizona University] [GerosaMA, Northern Arizona University] [SarmaA, Oregon State University]",US,True
1128,10.1145/3597926.3598060,"[LiuK, Peking University] [HanY, Peking University] [ZhangJM, King's College London] [ChenZ, University College London] [SarroF, University College London] [HarmanM, University College London] [HuangG, Peking University] [MaY, Peking University]",CN;GB,True
1129,10.1145/3598579.3689377,"[BouvierD, United States Air Force Academy] [LovelletteE, College of Charleston] [SantosEA, University College Dublin] [BeckerBA, University College Dublin] [DasigiV, Bowling Green State University] [FordenJ, Marquette University] [GlebovaO] [JoshiS, Birla Institute of Technology and Science, Pilani - Goa Campus; Birla Institute of Technology and Science, Pilani] [KurkovskyS, Central Connecticut State University] [RussellS, University College Dublin]",US;IE;IN,True
1130,10.1145/3598579.3689378,"[KieslerN, Georg Simon Ohm University of Applied Sciences Nuremberg] [ImpagliazzoJ, Hofstra University] [BiernackaK, Humboldt-Universität zu Berlin] [KapoorA, University of Florida] [KazmiZ] [RamagoniSG, Marquette University] [SaneA, Flame University] [TranK, North Carolina State University; North Central State College] [TanejaS, Worcester Polytechnic Institute] [WuZ, University of Michigan]",DE;US;IN,True
1131,10.1145/3600211.3604681,"[JiangHH] [BrownLT, Artistic Realization Technologies] [ChengJ] [KhanM] [GuptaA] [WorkmanD, Pennsylvania State University] [HannaA] [FlowersJ, California State University, Northridge] [GebruT]",US,True
1132,10.1145/3600211.3604701,[LawrenceC] [CuiI] [HoDE],,True
1133,10.1145/3605098.3636055,"[TaiyeMA, Linnaeus University] [HighC, Linnaeus University] [VelanderJ, Linnaeus University] [MatarK, Linnaeus University] [OkmanisR, Linnaeus University] [MilradM, Linnaeus University]",SE,True
1134,10.1145/3605390.3605393,"[GennariR, Free University of Bozen-Bolzano] [MelonioA, Ca' Foscari University of Venice] [PellegrinoMA, University of Salerno] [D’AngeloM]",IT,True
1135,10.1145/3606094.3606101,"[Vargas-MurilloAR, Private University of the North] [Pari-BedoyaINMdlA, Universidad Tecnológica del Perú] [Guevara-SotoFdJ]",PE,True
1136,10.1145/3608113,"[Wong-VillacrésM, Escuela Superior Politecnica del Litoral] [KutayC, Charles Darwin University] [LazemS, City of Scientific Research and Technological Applications] [AhmedN, North South University] [AbadCL, Escuela Superior Politecnica del Litoral] [CollazosCA, University of Cauca] [ElbassuoniS, American University of Beirut] [IslamF, North South University] [SinghD, University of Delhi] [MayeeshaTT, North South University] [UjakpaMM, Ghana Communication Technology University] [ZamanT, Sibu Hospital] [BidwellNJ, The University of Melbourne; Charles Darwin University; International University of Management]",EC;AU;EG;BD;CO;LB;IN;GH;MY;NA,True
1137,10.1145/3610213,"[SolystJ, Carnegie Mellon University] [YangE, Carnegie Mellon University] [XieS, Carnegie Mellon University] [OganA, Carnegie Mellon University] [HammerJ, Carnegie Mellon University] [EslamiM, Carnegie Mellon University]",US,True
1138,10.1145/3610406,"[PhilbinCA, King's College London]",GB,True
1139,10.1145/3610969.3610982,"[MahonJ, University College Dublin] [NameeBM, University College Dublin] [BeckerBA, University College Dublin]",IE,True
1140,10.1145/3610969.3611121,"[BowersD, The Open University] [HayesA, University of Bath] [PrickettT, Northumbria University] [CrickT, Swansea University] [StreaterK, Forge (United Kingdom)] [SharpC, IBM (United Kingdom)]",GB,True
1141,10.1145/3610977.3634950,"[WilliamsR, Massachusetts Institute of Technology] [AliS, Massachusetts Institute of Technology] [AlcantaraRR, Massachusetts Institute of Technology] [BurghlehT, Massachusetts Institute of Technology] [AlghowinemS, Massachusetts Institute of Technology] [BreazealC, Massachusetts Institute of Technology]",US,True
1142,10.1145/3613904.3641899,"[RezaM, University of Toronto] [LaundryN, University of Toronto] [MusabirovI, University of Toronto] [DushnikuP, University of Toronto] [YuZY“, University of Toronto] [MittalK, University of Toronto] [GrossmanT, University of Toronto] [LiutM, University of Toronto] [KuzminykhA, University of Toronto] [WilliamsJJ, University of Toronto]",CA,True
1143,10.1145/3613904.3642017,"[ChenS, University of Illinois Urbana-Champaign; Gallaudet University] [WallerJM, Gallaudet University] [SeitaM, Gallaudet University] [VoglerC, Gallaudet University] [KushalnagarR, Gallaudet University] [WangQ, Gallaudet University]",US,True
1144,10.1145/3613904.3642191,"[KotturiY, Carnegie Mellon University] [AndersonA, Community Catalyst] [FordG, Community Catalyst] [SkirpanM, Carnegie Mellon University] [BighamJP, Carnegie Mellon University]",US,True
