Occurrences,Words,Cluster,Color,Cluster_Label,Cluster_Frequency,Cluster_PageRank,Score,Freq,btw_centrality,clos_centrality,pagerank_centrality
12,cheating,1,#E41A1C80,generative ai,0.001598477997944795,0.007155635062611807,0.4377056530278301,1662,12.124801195782956,0.0018018018018018018,0.001598477997944795
12,digital literacy,1,#E41A1C80,generative ai,0.0017351920990684,0.007155635062611807,0.4445413580840103,1662,17.999262217943162,0.0018796992481203006,0.0017351920990684
12,generative ai (genai),1,#E41A1C80,generative ai,0.0016768115909920488,0.007155635062611807,0.4416223326801928,1662,42.332557868904395,0.0019193857965451055,0.0016768115909920488
11,collaborative learning,1,#E41A1C80,generative ai,0.001207887780582989,0.00655933214072749,0.38836099606552393,1662,27.724373010347517,0.0019880715705765406,0.001207887780582989
11,education technology,1,#E41A1C80,generative ai,0.0015451397721852776,0.00655933214072749,0.4052235956456384,1662,0.9955352710572122,0.0016501650165016502,0.0015451397721852776
11,gemini,1,#E41A1C80,generative ai,0.0020370093489546948,0.00655933214072749,0.4298170744841092,1662,25.978636847063665,0.0019801980198019802,0.0020370093489546948
11,human-ai interaction,1,#E41A1C80,generative ai,0.0015506551690829314,0.00655933214072749,0.40549936549052107,1662,70.25192257546212,0.001984126984126984,0.0015506551690829314
10,curriculum design,1,#E41A1C80,generative ai,0.0017382176469603469,0.005963029218843173,0.38506234329017597,1662,44.1332038035248,0.0020242914979757085,0.0017382176469603469
10,generative artificial intelligence (genai),1,#E41A1C80,generative ai,0.0016446394217075656,0.005963029218843173,0.3803834320275369,1662,62.40419965920934,0.0019455252918287938,0.0016446394217075656
10,professional development,1,#E41A1C80,generative ai,0.0017834378515386106,0.005963029218843173,0.3873233535190892,1662,54.93698914166834,0.001968503937007874,0.0017834378515386106
9,integrity,1,#E41A1C80,generative ai,0.001651508863160638,0.005366726296958855,0.35091175800597463,1662,9.438226632935248,0.0019083969465648854,0.001651508863160638
9,metacognition,1,#E41A1C80,generative ai,0.0016537361322071832,0.005366726296958855,0.3510231214583019,1662,28.188389471849703,0.001949317738791423,0.0016537361322071832
8,ai tools,1,#E41A1C80,generative ai,0.00144344543449651,0.004770423375074538,0.31069344047855235,1662,28.181547226224676,0.001953125,0.00144344543449651
8,course design,1,#E41A1C80,generative ai,0.001630315020502337,0.004770423375074538,0.32003691977884374,1662,42.0012265683184,0.0020161290322580645,0.001630315020502337
8,digital transformation,1,#E41A1C80,generative ai,0.0015690743820939827,0.004770423375074538,0.316974887858426,1662,17.7379038927875,0.0018181818181818182,0.0015690743820939827
8,perception,1,#E41A1C80,generative ai,0.0016872421333903956,0.004770423375074538,0.32288327542324663,1662,11.882588075291514,0.0018552875695732839,0.0016872421333903956
8,self-efficacy,1,#E41A1C80,generative ai,0.0012179786637752563,0.004770423375074538,0.2994201019424897,1662,22.22871072373023,0.001941747572815534,0.0012179786637752563
8,self-regulated learning,1,#E41A1C80,generative ai,0.0014839049630304831,0.004770423375074538,0.31271641690525104,1662,29.402476153440116,0.0019880715705765406,0.0014839049630304831
8,sentiment analysis,1,#E41A1C80,generative ai,0.00117266618767294,0.004770423375074538,0.2971544781373739,1662,13.643553060397474,0.0019305019305019305,0.00117266618767294
7,academic writing,1,#E41A1C80,generative ai,0.0012952243086612508,0.0041741204531902205,0.27346723809257356,1662,16.61598477123075,0.0018315018315018315,0.0012952243086612508
7,design education,1,#E41A1C80,generative ai,0.0012273829936448688,0.0041741204531902205,0.27007517234175443,1662,16.489830793314994,0.0017921146953405018,0.0012273829936448688
7,ethical ai,1,#E41A1C80,generative ai,0.0019316973593687344,0.0041741204531902205,0.3052908906279478,1662,67.04437396729789,0.002070393374741201,0.0019316973593687344
7,plagiarism detection,1,#E41A1C80,generative ai,0.0012150910762020791,0.0041741204531902205,0.26946057646961497,1662,14.767888825197243,0.0018832391713747645,0.0012150910762020791
7,self-directed learning,1,#E41A1C80,generative ai,0.001273347566916237,0.0041741204531902205,0.27237340100532287,1662,33.826095989960805,0.001838235294117647,0.001273347566916237
7,topic modeling,1,#E41A1C80,generative ai,0.0011282383586558853,0.0041741204531902205,0.2651179405923053,1662,9.504451407823684,0.0019193857965451055,0.0011282383586558853
6,bloom’s taxonomy,1,#E41A1C80,generative ai,0.0011495108785316405,0.0035778175313059034,0.23636642049187717,1662,13.686213094100532,0.0018832391713747645,0.0011495108785316405
6,hci education,1,#E41A1C80,generative ai,0.0010458047067755123,0.0035778175313059034,0.23118111190407079,1662,5.116914201474913,0.0016778523489932886,0.0010458047067755123
6,mixed methods,1,#E41A1C80,generative ai,0.001098547269548694,0.0035778175313059034,0.23381824004272989,1662,7.802315613298286,0.001694915254237288,0.001098547269548694
6,multimodal large language models,1,#E41A1C80,generative ai,9.081041319965855e-4,0.0035778175313059034,0.22429608316512445,1662,4.626226519923101,0.001841620626151013,9.081041319965855e-4
6,teacher education,1,#E41A1C80,generative ai,0.001162005730922793,0.0035778175313059034,0.2369911631114348,1662,21.039558316718097,0.0019083969465648854,0.001162005730922793
345,large language models,2,#377EB880,large language models,0.041433757265110484,0.239251040221914,14.034239874351226,1417,649.4585056203902,0.002178649237472767,0.041433757265110484
98,educational technology,2,#377EB880,large language models,0.014112202342728744,0.06796116504854369,4.103668369563621,1417,978.759975477081,0.002277904328018223,0.014112202342728744
76,prompt engineering,2,#377EB880,large language models,0.009500141704756958,0.052704576976421634,3.1102359340589296,1417,524.0665688396374,0.002173913043478261,0.009500141704756958
61,programming education,2,#377EB880,large language models,0.008028933841234745,0.04230235783633842,2.516564583878658,1417,694.0863510970809,0.0022522522522522522,0.008028933841234745
58,personalized learning,2,#377EB880,large language models,0.006932575500054135,0.04022191400832178,2.3577244754187956,1417,376.7179810046575,0.0021598272138228943,0.006932575500054135
50,large language models (llms),2,#377EB880,large language models,0.00517112650529369,0.03467406380027739,1.9922595152785543,1417,370.19893571025875,0.0021598272138228943,0.00517112650529369
43,software engineering education,2,#377EB880,large language models,0.004527812415100523,0.029819694868238558,1.717375364166954,1417,326.6945110707913,0.0021598272138228943,0.004527812415100523
38,feedback,2,#377EB880,large language models,0.005913253091067311,0.026352288488210817,1.6132770789639064,1417,319.038238417303,0.002150537634408602,0.005913253091067311
36,natural language processing,2,#377EB880,large language models,0.004890112819501233,0.024965325936199722,1.4927719377850477,1417,312.2316277657202,0.0021551724137931034,0.004890112819501233
29,artificial intelligence in education,2,#377EB880,large language models,0.004283114277215747,0.02011095700416089,1.2197035640688318,1417,178.62371796793374,0.0021008403361344537,0.004283114277215747
26,adaptive learning,2,#377EB880,large language models,0.003920736786158905,0.018030513176144243,1.0975624981151573,1417,161.09568406041438,0.0020920502092050207,0.003920736786158905
25,automated grading,2,#377EB880,large language models,0.003123383799525656,0.017337031900138695,1.0230207849832176,1417,110.40497028758327,0.0020325203252032522,0.003123383799525656
22,intelligent tutoring systems,2,#377EB880,large language models,0.0038605583786265906,0.015256588072122053,0.9558573225374323,1417,178.41865603644692,0.0020325203252032522,0.0038605583786265906
22,learning analytics,2,#377EB880,large language models,0.0030613062087763037,0.015256588072122053,0.9158947140449178,1417,113.29484423646956,0.0020964360587002098,0.0030613062087763037
21,automated feedback,2,#377EB880,large language models,0.0027093959712646814,0.014563106796116505,0.8636251383690594,1417,66.66312572697603,0.002036659877800407,0.0027093959712646814
21,student engagement,2,#377EB880,large language models,0.002702852817343871,0.014563106796116505,0.8632979806730189,1417,148.61003222171115,0.0020876826722338203,0.002702852817343871
20,artificial intelligence (ai),2,#377EB880,large language models,0.0035798676008620533,0.013869625520110958,0.8724746560486506,1417,220.95296939712713,0.0021231422505307855,0.0035798676008620533
20,automated assessment,2,#377EB880,large language models,0.0027173693802320406,0.013869625520110958,0.82934974501715,1417,82.36409107048264,0.0019880715705765406,0.0027173693802320406
20,human-ai collaboration,2,#377EB880,large language models,0.002788925042615636,0.013869625520110958,0.8329275281363298,1417,105.46376253115683,0.0020161290322580645,0.002788925042615636
16,retrieval-augmented generation,2,#377EB880,large language models,0.002577314775619086,0.011095700416088766,0.6836507595853926,1417,101.96751125363558,0.002066115702479339,0.002577314775619086
15,gamification,2,#377EB880,large language models,0.0026106523715725615,0.010402219140083218,0.650643575582789,1417,114.53994893125255,0.0020964360587002098,0.0026106523715725615
14,instructional design,2,#377EB880,large language models,0.0024141969060394778,0.009708737864077669,0.6061467385058573,1417,91.58997864502565,0.002012072434607646,0.0024141969060394778
